,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,YouSleepAt,PartnerSleepAt,Reason_One of us snores,Reason_One of us makes frequent bathroom trips in the night,Reason_One of us is sick,Reason_We are no longer physically intimate,Reason_We have different temperature preferences for the room,Reason_We have had an argument or fight,Reason_Not enough space,Reason_Do not want to share the covers,Reason_One of us needs to sleep with a child,Reason_Night working/very different sleeping times,Reason_Other,First time in separate beds,Sleeping in separate beds helps us to stay together,We sleep better when we sleep in separate beds,Our sex life has improved as a result of sleeping in separate beds,Occupation,Gender,Age,Household income,Education,Location,Household income_code,Age_code,Education_code,Gender_code,Sleeping in separate beds helps us to stay together_code,We sleep better when we sleep in separate beds_code,Our sex life has improved as a result of sleeping in separate beds_code
384,7/9/14 19:32,7/9/14 19:35,Divorced,1-5 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,bartender,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,4,3,3,0,4.0,3.0,3.0
386,7/9/14 19:13,7/9/14 19:35,"Single, but cohabiting with a significant other",1-5 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,1,1,0,0,1,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,3,1,4,1,4.0,5.0,3.0
387,7/9/14 19:32,7/9/14 19:34,Separated,1-5 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,1,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Management Occupations,Female,30-44,"$25,000 - $49,999",Bachelor degree,Pacific,2,2,4,1,3.0,2.0,2.0
388,7/9/14 19:32,7/9/14 19:39,Married,11-15 years,A few times per week,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,1,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Sales and Related Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,3,2,4,1,1.0,1.0,1.0
389,7/9/14 19:32,7/9/14 19:33,"Single, but cohabiting with a significant other",1-5 years,A few times per month,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
394,7/9/14 19:31,7/9/14 19:35,In a domestic partnership or civil union,11-15 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,both retired,Male,> 60,Did not disclose,Graduate degree,East North Central,0,4,5,0,3.0,3.0,3.0
395,7/9/14 19:31,7/9/14 19:33,Married,11-15 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,4,4,4,0,1.0,2.0,1.0
396,7/9/14 19:31,7/9/14 19:34,Married,More than 20 years,Once a year or less,On the couch/chair,On the couch/chair,0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Biotechnology,Male,45-60,"$150,000+",Graduate degree,East North Central,5,3,5,0,1.0,1.0,1.0
400,7/9/14 19:30,7/9/14 19:30,Married,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
401,7/9/14 19:30,7/9/14 19:33,Married,11-15 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Neither agree nor disagree,Construction and Extraction Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain,3,3,5,0,1.0,1.0,3.0
