,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,YouSleepAt,PartnerSleepAt,Reason_One of us snores,Reason_One of us makes frequent bathroom trips in the night,Reason_One of us is sick,Reason_We are no longer physically intimate,Reason_We have different temperature preferences for the room,Reason_We have had an argument or fight,Reason_Not enough space,Reason_Do not want to share the covers,Reason_One of us needs to sleep with a child,Reason_Night working/very different sleeping times,Reason_Other,First time in separate beds,Sleeping in separate beds helps us to stay together,We sleep better when we sleep in separate beds,Our sex life has improved as a result of sleeping in separate beds,Occupation,Gender,Age,Household income,Education,Location,Household income_code,Age_code,Education_code,Gender_code,Sleeping in separate beds helps us to stay together_code,We sleep better when we sleep in separate beds_code,Our sex life has improved as a result of sleeping in separate beds_code
1,7/10/14 18:37,7/10/14 18:39,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Strongly disagree,Student,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,1,1,3,0,1.0,4.0,1.0
2,7/10/14 15:54,7/10/14 15:56,"Single, but cohabiting with a significant other",1-5 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,1,1,0,0,1,0,1,0,0,0,Immediately/ We've always slept in separate beds,Somewhat agree,Strongly agree,Strongly disagree,Healthcare Support Occupations,Male,18-29,Did not disclose,Bachelor degree,South Atlantic,0,1,4,0,4.0,5.0,1.0
7,7/10/14 2:44,7/10/14 2:44,"Single, but cohabiting with a significant other",Less than 1 year,Every night,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
13,7/9/14 23:42,7/9/14 23:45,Married,6-10 years,Once a month or less,On the couch/chair,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central,4,2,4,0,3.0,3.0,2.0
16,7/9/14 23:38,7/9/14 23:42,Married,16-20 years,A few times per week,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,1,0,0,0,0,0,1,Within 11-15 years of our relationship,Strongly agree,Strongly agree,Somewhat agree,Healthcare Practitioners and Technical Occupations,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain,3,2,5,0,5.0,5.0,4.0
17,7/9/14 23:38,7/9/14 23:41,Married,6-10 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,1,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,fire service,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain,3,2,3,0,3.0,2.0,1.0
18,7/9/14 23:35,7/9/14 23:37,In a domestic partnership or civil union,1-5 years,A few times per week,Other (please specify),Other (please specify),1,0,1,1,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Aviation customer service,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,4,2,5,0,3.0,4.0,2.0
31,7/9/14 23:16,7/9/14 23:18,Married,1-5 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,1,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain,3,2,5,0,3.0,3.0,1.0
32,7/9/14 23:15,7/9/14 23:18,Married,11-15 years,A few times per month,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,1,1,0,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain,4,2,4,0,3.0,3.0,3.0
35,7/9/14 23:08,7/9/14 23:11,Married,16-20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,Did not disclose,Bachelor degree,Mountain,0,2,4,0,1.0,1.0,1.0
36,7/9/14 23:01,7/9/14 23:03,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Data Entry for a Marketing Company,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,3,2,4,0,3.0,4.0,2.0
37,7/9/14 22:59,7/9/14 23:01,Married,16-20 years,A few times per week,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,1,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Sales and Related Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central,4,2,4,0,3.0,2.0,2.0
38,7/9/14 22:58,7/9/14 23:00,Married,11-15 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,1,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Transportation and Materials Moving Occupations,Male,30-44,Did not disclose,Bachelor degree,South Atlantic,0,2,4,0,3.0,2.0,1.0
39,7/9/14 22:58,7/9/14 23:01,Married,6-10 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England,4,2,3,0,2.0,2.0,3.0
41,7/9/14 22:53,7/9/14 22:55,Married,11-15 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central,3,2,5,0,2.0,2.0,1.0
43,7/9/14 22:53,7/9/14 22:56,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,1,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Business and Financial Operations Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,New England,3,1,4,0,3.0,2.0,1.0
44,7/9/14 22:47,7/9/14 22:51,Married,11-15 years,Once a month or less,Other (please specify),"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,1,0,0,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Computer and Mathematical Occupations,Male,30-44,"$150,000+",Graduate degree,Pacific,5,2,5,0,1.0,1.0,1.0
46,7/9/14 22:33,7/9/14 22:35,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Separate bedroom,Separate bedroom,0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Strongly disagree,Sales and Related Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain,2,1,3,0,4.0,5.0,1.0
47,7/9/14 22:32,7/9/14 22:35,Married,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Male,30-44,Did not disclose,Graduate degree,West North Central,0,2,5,0,2.0,3.0,3.0
50,7/9/14 22:25,7/9/14 22:27,Married,11-15 years,Once a year or less,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,1,0,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly agree,Somewhat disagree,Transportation and Materials Moving Occupations,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central,2,2,3,0,3.0,5.0,2.0
52,7/9/14 22:24,7/9/14 22:30,In a domestic partnership or civil union,11-15 years,A few times per week,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,1,1,Within 6-10 years of our relationship,Strongly agree,Somewhat agree,Somewhat agree,Property Management; Desk Clerk,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific,2,2,3,0,5.0,4.0,4.0
54,7/9/14 22:23,7/9/14 22:27,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,1,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Construction and Extraction Occupations,Male,18-29,Did not disclose,High school degree,West South Central,0,1,2,0,3.0,2.0,2.0
56,7/9/14 22:20,7/9/14 22:23,Married,16-20 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,1,1,0,0,0,1,0,Within the first 1-5 years of our relationship,Strongly agree,Neither agree nor disagree,Somewhat disagree,All of the above: Homemaker,Male,30-44,"$150,000+",Some college or Associate degree,Pacific,5,2,3,0,5.0,3.0,2.0
62,7/9/14 22:09,7/9/14 22:11,Married,6-10 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,1,0,0,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,Did not disclose,Some college or Associate degree,Mountain,0,2,3,0,1.0,1.0,1.0
63,7/9/14 22:07,7/9/14 22:10,"Single, but cohabiting with a significant other",Less than 1 year,Every night,"Shared bedroom, different bed","Shared bedroom, different bed",1,0,0,0,0,0,1,0,0,0,0,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,18-29,Did not disclose,High school degree,East North Central,0,1,2,0,3.0,4.0,3.0
64,7/9/14 22:07,7/9/14 22:08,Married,6-10 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,Male,30-44,"$150,000+",Graduate degree,Pacific,5,2,5,0,1.0,1.0,1.0
66,7/9/14 22:01,7/9/14 22:04,Married,6-10 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,1,0,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,4,2,4,0,3.0,3.0,3.0
68,7/9/14 21:59,7/9/14 22:02,Married,11-15 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,3,2,3,0,1.0,1.0,1.0
70,7/9/14 21:53,7/9/14 21:53,Married,11-15 years,Every night,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
71,7/9/14 21:52,7/9/14 22:03,Married,6-10 years,A few times per month,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Life, Physical, and Social Science Occupations",Male,18-29,"$50,000 - $99,999",Graduate degree,Mountain,3,1,5,0,3.0,3.0,3.0
72,7/9/14 21:51,7/9/14 21:54,Married,16-20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Architecture and Engineering Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central,4,2,4,0,3.0,2.0,1.0
75,7/9/14 21:35,7/9/14 21:36,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Sales and Related Occupations,Male,45-60,Did not disclose,Graduate degree,East North Central,0,3,5,0,4.0,5.0,3.0
78,7/9/14 21:32,7/9/14 21:34,Married,16-20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,0,1,0,0,1,0,0,0,1,0,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Healthcare Practitioners and Technical Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,New England,3,3,5,0,3.0,4.0,1.0
81,7/9/14 21:28,7/9/14 21:30,Married,1-5 years,Every night,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Neither agree nor disagree,Business and Financial Operations Occupations,Male,18-29,"$150,000+",Graduate degree,Middle Atlantic,5,1,5,0,1.0,1.0,3.0
83,7/9/14 21:26,7/9/14 21:30,Married,11-15 years,A few times per month,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,1,0,1,0,0,0,1,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Building and Grounds Cleaning and Maintenance Occupations,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,West North Central,2,3,3,0,3.0,3.0,2.0
84,7/9/14 21:26,7/9/14 21:29,Married,11-15 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,1,0,0,Within 6-10 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central,4,2,4,0,2.0,2.0,1.0
87,7/9/14 21:26,7/9/14 21:28,Married,6-10 years,A few times per month,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,1,0,Immediately/ We've always slept in separate beds,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Business and Financial Operations Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,3,2,3,0,2.0,3.0,2.0
90,7/9/14 21:24,7/9/14 21:28,Married,1-5 years,Once a year or less,"Shared bedroom, different bed","Shared bedroom, different bed",0,0,1,0,0,1,0,0,1,1,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Computer and Mathematical Occupations,Male,18-29,"$150,000+",Bachelor degree,East North Central,5,1,4,0,2.0,2.0,1.0
93,7/9/14 21:19,7/9/14 21:19,"Single, but cohabiting with a significant other",,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
95,7/9/14 21:17,7/9/14 21:17,Married,More than 20 years,Once a year or less,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
96,7/9/14 21:16,7/9/14 21:18,Married,More than 20 years,A few times per month,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,1,0,Within 11-15 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,West North Central,4,3,4,0,3.0,3.0,2.0
97,7/9/14 20:24,7/9/14 21:18,Married,1-5 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat agree,Legal Occupations,Male,18-29,"$150,000+",Graduate degree,West South Central,5,1,5,0,3.0,4.0,4.0
99,7/9/14 18:23,7/9/14 21:18,In a domestic partnership or civil union,1-5 years,Every night,Other (please specify),Other (please specify),0,0,0,0,0,0,0,0,0,0,1,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Management Occupations,Female,18-29,Did not disclose,Bachelor degree,South Atlantic,0,1,4,1,3.0,2.0,2.0
102,7/9/14 21:10,7/9/14 21:11,In a domestic partnership or civil union,1-5 years,A few times per month,On the couch/chair,On the couch/chair,1,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Somewhat disagree,Strongly disagree,Office and Administrative Support Occupations,Male,30-44,"$0 - $24,999",Bachelor degree,Pacific,1,2,4,0,4.0,2.0,1.0
105,7/9/14 21:08,7/9/14 21:11,Married,11-15 years,A few times per month,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,0,1,0,Immediately/ We've always slept in separate beds,Strongly agree,Strongly agree,Strongly agree,Healthcare Practitioners and Technical Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,2,3,4,0,5.0,5.0,5.0
117,7/9/14 20:57,7/9/14 20:57,Married,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
119,7/9/14 20:55,7/9/14 21:00,Married,1-5 years,Every night,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,1,0,0,0,0,0,0,0,0,1,Immediately/ We've always slept in separate beds,Strongly agree,Strongly agree,Strongly agree,"Retired, Law Enforcement",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,4,3,3,0,5.0,5.0,5.0
120,7/9/14 20:55,7/9/14 20:57,In a domestic partnership or civil union,11-15 years,Once a year or less,On the couch/chair,On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Cosemtologist,Male,45-60,"$100,000 - $149,999",High school degree,South Atlantic,4,3,2,0,2.0,2.0,3.0
121,7/9/14 20:54,7/9/14 20:56,Married,1-5 years,Once a month or less,On the couch/chair,On the couch/chair,0,0,1,0,0,1,0,0,1,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Management Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,Mountain,3,1,4,0,3.0,3.0,3.0
122,7/9/14 20:52,7/9/14 20:53,Married,11-15 years,A few times per week,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,1,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Production Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Did not disclose,3,2,3,0,3.0,3.0,3.0
123,7/9/14 20:51,7/9/14 20:53,Married,11-15 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,1,0,1,0,0,1,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Construction and Extraction Occupations,Male,30-44,"$150,000+",Graduate degree,Middle Atlantic,5,2,5,0,3.0,2.0,3.0
127,7/9/14 20:49,7/9/14 20:54,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,Separate bedroom,Separate bedroom,1,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Strongly disagree,Non-profit Management,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central,3,1,4,0,1.0,4.0,1.0
128,7/9/14 20:38,7/9/14 20:52,Married,More than 20 years,Every night,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,1,0,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat agree,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,4,3,3,0,3.0,4.0,4.0
130,7/9/14 20:46,7/9/14 20:49,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,1,0,0,0,0,0,0,0,After 20 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Architecture and Engineering Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,3,3,3,0,4.0,5.0,3.0
134,7/9/14 20:45,7/9/14 20:49,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,1,0,0,0,0,0,0,0,Within 16-20 years of our relationship,Somewhat disagree,Somewhat agree,Strongly disagree,Community and Social Service Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,Mountain,3,3,4,0,2.0,4.0,1.0
136,7/9/14 20:45,7/9/14 20:47,Married,6-10 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,1,0,0,1,0,0,1,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly disagree,Strongly disagree,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,3,2,3,0,2.0,1.0,1.0
138,7/9/14 20:41,7/9/14 20:44,Married,16-20 years,A few times per week,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,1,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Homemaker,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,3,2,4,0,3.0,4.0,3.0
149,7/9/14 20:29,7/9/14 20:32,Married,More than 20 years,A few times per month,Other (please specify),"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,1,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,4,3,3,0,3.0,3.0,3.0
150,7/9/14 20:28,7/9/14 20:32,"Single, but cohabiting with a significant other",11-15 years,Once a month or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Community and Social Service Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,4,3,3,0,1.0,1.0,1.0
151,7/9/14 20:27,7/9/14 20:29,Married,11-15 years,A few times per month,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Construction and Extraction Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain,3,2,3,0,1.0,1.0,1.0
153,7/9/14 20:26,7/9/14 20:29,"Single, but cohabiting with a significant other",1-5 years,Every night,Separate bedroom,"Shared bedroom, but one of us sleeps on the floor",0,0,0,1,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Office and Administrative Support Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,2,3,4,0,2.0,4.0,3.0
159,7/9/14 20:24,7/9/14 20:27,Married,11-15 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,1,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly disagree,Strongly disagree,Computer and Mathematical Occupations,Male,30-44,Did not disclose,Some college or Associate degree,East North Central,0,2,3,0,2.0,1.0,1.0
160,7/9/14 20:24,7/9/14 20:27,Married,More than 20 years,Once a year or less,Other (please specify),Other (please specify),0,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,> 60,"$50,000 - $99,999",Bachelor degree,West North Central,3,4,4,1,2.0,2.0,3.0
161,7/9/14 20:23,7/9/14 20:25,Married,More than 20 years,Every night,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,0,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Management Occupations,Male,45-60,"$150,000+",Bachelor degree,East North Central,5,3,4,0,3.0,4.0,1.0
163,7/9/14 20:22,7/9/14 20:24,"Single, but cohabiting with a significant other",More than 20 years,A few times per month,Other (please specify),Other (please specify),0,0,0,0,0,0,0,0,1,0,0,Within 16-20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Community and Social Service Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,3,2,3,0,1.0,1.0,1.0
164,7/9/14 20:22,7/9/14 20:24,"Single, but cohabiting with a significant other",11-15 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,1,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic,3,2,5,0,3.0,4.0,2.0
165,7/9/14 20:20,7/9/14 20:23,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,1,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Environmental consultants,Female,> 60,"$100,000 - $149,999",Bachelor degree,Pacific,4,4,4,1,3.0,5.0,3.0
167,7/9/14 20:18,7/9/14 20:20,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,1,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,3,4,3,1,3.0,5.0,3.0
170,7/9/14 20:18,7/9/14 20:19,Married,11-15 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Architecture and Engineering Occupations,Male,45-60,Did not disclose,Bachelor degree,East South Central,0,3,4,0,1.0,1.0,1.0
